Vardas              Pavarde             Galutinis (Vid.)    
--------------------------------------------------------------------------------
Vardas1000          Pavarde1000         6.00                
Vardas1001          Pavarde1001         8.40                
Vardas1002          Pavarde1002         6.80                
Vardas1003          Pavarde1003         6.00                
Vardas1004          Pavarde1004         7.20                
Vardas1005          Pavarde1005         7.80                
Vardas1006          Pavarde1006         6.60                
Vardas1007          Pavarde1007         5.80                
Vardas1009          Pavarde1009         7.80                
Vardas1010          Pavarde1010         7.40                
Vardas1012          Pavarde1012         7.40                
Vardas1013          Pavarde1013         8.40                
Vardas1014          Pavarde1014         7.40                
Vardas1015          Pavarde1015         8.80                
Vardas1017          Pavarde1017         6.20                
Vardas1018          Pavarde1018         7.00                
Vardas102           Pavarde102          5.60                
Vardas1022          Pavarde1022         5.40                
Vardas1025          Pavarde1025         7.60                
Vardas1026          Pavarde1026         5.40                
Vardas1028          Pavarde1028         5.20                
Vardas1029          Pavarde1029         6.60                
Vardas103           Pavarde103          7.60                
Vardas1034          Pavarde1034         7.00                
Vardas1037          Pavarde1037         8.80                
Vardas1039          Pavarde1039         5.60                
Vardas1040          Pavarde1040         5.60                
Vardas1044          Pavarde1044         7.00                
Vardas1045          Pavarde1045         6.20                
Vardas1046          Pavarde1046         5.80                
Vardas1047          Pavarde1047         7.40                
Vardas1048          Pavarde1048         5.80                
Vardas1049          Pavarde1049         6.80                
Vardas105           Pavarde105          7.00                
Vardas1050          Pavarde1050         5.20                
Vardas1051          Pavarde1051         7.20                
Vardas1052          Pavarde1052         6.40                
Vardas1055          Pavarde1055         6.40                
Vardas1057          Pavarde1057         7.00                
Vardas106           Pavarde106          8.80                
Vardas1060          Pavarde1060         5.60                
Vardas1062          Pavarde1062         7.00                
Vardas1065          Pavarde1065         7.00                
Vardas1066          Pavarde1066         8.00                
Vardas1067          Pavarde1067         5.00                
Vardas107           Pavarde107          8.00                
Vardas1071          Pavarde1071         5.40                
Vardas1073          Pavarde1073         7.40                
Vardas1075          Pavarde1075         6.00                
Vardas1077          Pavarde1077         7.80                
Vardas1078          Pavarde1078         6.20                
Vardas1080          Pavarde1080         7.80                
Vardas1081          Pavarde1081         6.20                
Vardas1082          Pavarde1082         5.20                
Vardas1084          Pavarde1084         6.00                
Vardas1085          Pavarde1085         5.80                
Vardas1086          Pavarde1086         6.20                
Vardas1088          Pavarde1088         5.20                
Vardas1090          Pavarde1090         5.40                
Vardas1095          Pavarde1095         6.60                
Vardas1099          Pavarde1099         6.40                
Vardas11            Pavarde11           5.20                
Vardas110           Pavarde110          8.00                
Vardas1100          Pavarde1100         7.60                
Vardas1101          Pavarde1101         7.60                
Vardas1102          Pavarde1102         6.00                
Vardas1103          Pavarde1103         5.40                
Vardas1105          Pavarde1105         5.00                
Vardas1106          Pavarde1106         8.00                
Vardas1107          Pavarde1107         7.80                
Vardas111           Pavarde111          7.20                
Vardas1111          Pavarde1111         6.80                
Vardas1112          Pavarde1112         8.40                
Vardas1113          Pavarde1113         8.20                
Vardas1116          Pavarde1116         8.40                
Vardas1120          Pavarde1120         5.20                
Vardas1121          Pavarde1121         5.40                
Vardas1124          Pavarde1124         7.60                
Vardas1125          Pavarde1125         6.20                
Vardas1127          Pavarde1127         6.20                
Vardas1128          Pavarde1128         5.60                
Vardas1131          Pavarde1131         6.00                
Vardas1132          Pavarde1132         7.60                
Vardas1135          Pavarde1135         5.20                
Vardas1138          Pavarde1138         5.80                
Vardas114           Pavarde114          5.00                
Vardas1142          Pavarde1142         7.60                
Vardas1144          Pavarde1144         8.80                
Vardas1145          Pavarde1145         5.20                
Vardas1146          Pavarde1146         5.20                
Vardas1147          Pavarde1147         6.00                
Vardas1149          Pavarde1149         5.00                
Vardas1153          Pavarde1153         7.60                
Vardas1155          Pavarde1155         7.00                
Vardas1159          Pavarde1159         6.80                
Vardas116           Pavarde116          6.80                
Vardas1160          Pavarde1160         6.80                
Vardas1161          Pavarde1161         7.20                
Vardas1166          Pavarde1166         6.40                
Vardas117           Pavarde117          9.20                
Vardas1170          Pavarde1170         5.80                
Vardas1171          Pavarde1171         8.80                
Vardas1172          Pavarde1172         5.40                
Vardas1176          Pavarde1176         5.00                
Vardas1177          Pavarde1177         8.20                
Vardas1178          Pavarde1178         7.20                
Vardas1179          Pavarde1179         6.40                
Vardas118           Pavarde118          6.40                
Vardas1180          Pavarde1180         7.00                
Vardas1182          Pavarde1182         5.80                
Vardas1183          Pavarde1183         6.20                
Vardas1184          Pavarde1184         7.40                
Vardas1185          Pavarde1185         5.40                
Vardas1187          Pavarde1187         7.20                
Vardas119           Pavarde119          7.00                
Vardas1194          Pavarde1194         6.80                
Vardas1196          Pavarde1196         6.40                
Vardas1197          Pavarde1197         7.80                
Vardas1199          Pavarde1199         6.40                
Vardas12            Pavarde12           7.00                
Vardas120           Pavarde120          5.00                
Vardas1200          Pavarde1200         8.00                
Vardas1202          Pavarde1202         6.80                
Vardas1205          Pavarde1205         5.60                
Vardas1207          Pavarde1207         7.40                
Vardas1209          Pavarde1209         7.40                
Vardas121           Pavarde121          5.60                
Vardas1212          Pavarde1212         7.60                
Vardas1213          Pavarde1213         6.60                
Vardas1214          Pavarde1214         6.60                
Vardas1216          Pavarde1216         8.40                
Vardas1217          Pavarde1217         7.80                
Vardas1218          Pavarde1218         5.40                
Vardas1219          Pavarde1219         8.80                
Vardas122           Pavarde122          5.20                
Vardas1220          Pavarde1220         6.40                
Vardas1225          Pavarde1225         8.00                
Vardas123           Pavarde123          7.80                
Vardas1233          Pavarde1233         9.20                
Vardas1235          Pavarde1235         5.80                
Vardas1236          Pavarde1236         5.00                
Vardas1237          Pavarde1237         6.60                
Vardas1239          Pavarde1239         7.00                
Vardas1241          Pavarde1241         7.40                
Vardas1243          Pavarde1243         6.40                
Vardas1244          Pavarde1244         6.60                
Vardas1245          Pavarde1245         5.60                
Vardas1246          Pavarde1246         5.60                
Vardas1247          Pavarde1247         7.60                
Vardas1250          Pavarde1250         5.80                
Vardas1253          Pavarde1253         6.00                
Vardas1256          Pavarde1256         5.80                
Vardas1257          Pavarde1257         8.00                
Vardas1258          Pavarde1258         7.20                
Vardas1259          Pavarde1259         7.40                
Vardas1260          Pavarde1260         5.40                
Vardas1261          Pavarde1261         5.60                
Vardas1262          Pavarde1262         5.40                
Vardas1264          Pavarde1264         6.80                
Vardas1265          Pavarde1265         6.80                
Vardas1266          Pavarde1266         6.60                
Vardas1267          Pavarde1267         8.80                
Vardas1268          Pavarde1268         8.40                
Vardas1269          Pavarde1269         5.00                
Vardas127           Pavarde127          5.00                
Vardas1270          Pavarde1270         6.20                
Vardas1272          Pavarde1272         5.00                
Vardas1274          Pavarde1274         6.80                
Vardas1276          Pavarde1276         6.40                
Vardas1277          Pavarde1277         6.60                
Vardas1278          Pavarde1278         7.00                
Vardas1279          Pavarde1279         5.40                
Vardas128           Pavarde128          5.60                
Vardas1280          Pavarde1280         7.00                
Vardas1281          Pavarde1281         5.20                
Vardas1283          Pavarde1283         6.40                
Vardas1284          Pavarde1284         7.80                
Vardas1285          Pavarde1285         5.60                
Vardas1286          Pavarde1286         5.60                
Vardas1287          Pavarde1287         8.40                
Vardas1288          Pavarde1288         5.40                
Vardas1289          Pavarde1289         6.00                
Vardas129           Pavarde129          5.20                
Vardas1290          Pavarde1290         6.20                
Vardas1293          Pavarde1293         5.00                
Vardas1294          Pavarde1294         7.40                
Vardas1295          Pavarde1295         6.60                
Vardas1296          Pavarde1296         6.60                
Vardas1297          Pavarde1297         7.20                
Vardas1298          Pavarde1298         8.80                
Vardas1299          Pavarde1299         6.00                
Vardas130           Pavarde130          7.40                
Vardas1302          Pavarde1302         5.20                
Vardas1303          Pavarde1303         7.20                
Vardas1304          Pavarde1304         8.40                
Vardas1305          Pavarde1305         5.40                
Vardas1306          Pavarde1306         5.20                
Vardas131           Pavarde131          6.60                
Vardas1311          Pavarde1311         6.80                
Vardas1312          Pavarde1312         8.00                
Vardas1316          Pavarde1316         5.00                
Vardas1318          Pavarde1318         7.80                
Vardas1319          Pavarde1319         7.00                
Vardas132           Pavarde132          5.00                
Vardas1322          Pavarde1322         6.00                
Vardas1323          Pavarde1323         7.00                
Vardas1324          Pavarde1324         6.80                
Vardas1325          Pavarde1325         6.80                
Vardas1326          Pavarde1326         7.40                
Vardas1328          Pavarde1328         6.40                
Vardas1330          Pavarde1330         7.80                
Vardas1331          Pavarde1331         8.00                
Vardas1332          Pavarde1332         6.00                
Vardas1333          Pavarde1333         6.00                
Vardas1334          Pavarde1334         5.00                
Vardas1335          Pavarde1335         6.60                
Vardas1336          Pavarde1336         5.20                
Vardas1338          Pavarde1338         8.80                
Vardas1339          Pavarde1339         5.20                
Vardas134           Pavarde134          5.00                
Vardas1340          Pavarde1340         6.20                
Vardas1341          Pavarde1341         6.40                
Vardas1344          Pavarde1344         7.20                
Vardas1346          Pavarde1346         5.00                
Vardas1347          Pavarde1347         5.40                
Vardas1348          Pavarde1348         7.80                
Vardas1352          Pavarde1352         6.80                
Vardas1354          Pavarde1354         6.40                
Vardas1355          Pavarde1355         7.00                
Vardas1357          Pavarde1357         7.80                
Vardas1359          Pavarde1359         7.00                
Vardas136           Pavarde136          6.60                
Vardas1360          Pavarde1360         8.40                
Vardas1362          Pavarde1362         5.00                
Vardas1363          Pavarde1363         6.80                
Vardas1364          Pavarde1364         6.80                
Vardas1365          Pavarde1365         7.60                
Vardas1367          Pavarde1367         5.40                
Vardas1368          Pavarde1368         6.20                
Vardas1371          Pavarde1371         6.60                
Vardas1372          Pavarde1372         7.00                
Vardas1374          Pavarde1374         5.00                
Vardas1375          Pavarde1375         7.40                
Vardas1378          Pavarde1378         5.60                
Vardas1379          Pavarde1379         6.20                
Vardas138           Pavarde138          5.20                
Vardas1380          Pavarde1380         6.20                
Vardas1382          Pavarde1382         6.60                
Vardas1383          Pavarde1383         7.00                
Vardas1385          Pavarde1385         7.00                
Vardas1389          Pavarde1389         7.20                
Vardas139           Pavarde139          5.40                
Vardas1391          Pavarde1391         5.40                
Vardas1393          Pavarde1393         7.80                
Vardas1394          Pavarde1394         5.80                
Vardas1395          Pavarde1395         5.20                
Vardas1396          Pavarde1396         5.00                
Vardas1398          Pavarde1398         8.00                
Vardas1399          Pavarde1399         7.00                
Vardas14            Pavarde14           7.60                
Vardas140           Pavarde140          8.00                
Vardas1400          Pavarde1400         6.60                
Vardas1401          Pavarde1401         8.60                
Vardas1402          Pavarde1402         6.40                
Vardas1406          Pavarde1406         7.20                
Vardas1409          Pavarde1409         8.40                
Vardas1410          Pavarde1410         5.60                
Vardas1418          Pavarde1418         8.80                
Vardas1419          Pavarde1419         5.20                
Vardas142           Pavarde142          7.00                
Vardas1420          Pavarde1420         6.80                
Vardas1424          Pavarde1424         6.00                
Vardas1426          Pavarde1426         7.40                
Vardas1427          Pavarde1427         7.60                
Vardas1428          Pavarde1428         5.00                
Vardas1429          Pavarde1429         7.40                
Vardas1431          Pavarde1431         6.00                
Vardas1432          Pavarde1432         7.60                
Vardas1433          Pavarde1433         6.60                
Vardas1435          Pavarde1435         8.00                
Vardas1436          Pavarde1436         5.40                
Vardas1437          Pavarde1437         5.20                
Vardas1440          Pavarde1440         8.00                
Vardas1446          Pavarde1446         8.40                
Vardas145           Pavarde145          5.00                
Vardas1450          Pavarde1450         7.60                
Vardas1458          Pavarde1458         5.60                
Vardas1460          Pavarde1460         8.80                
Vardas1463          Pavarde1463         5.80                
Vardas1465          Pavarde1465         7.60                
Vardas1467          Pavarde1467         8.40                
Vardas1468          Pavarde1468         7.40                
Vardas147           Pavarde147          8.00                
Vardas1470          Pavarde1470         7.40                
Vardas1478          Pavarde1478         8.00                
Vardas148           Pavarde148          6.40                
Vardas1481          Pavarde1481         8.40                
Vardas1483          Pavarde1483         8.00                
Vardas1484          Pavarde1484         5.20                
Vardas1485          Pavarde1485         5.40                
Vardas1486          Pavarde1486         5.60                
Vardas1487          Pavarde1487         6.20                
Vardas1489          Pavarde1489         6.60                
Vardas1490          Pavarde1490         5.40                
Vardas1491          Pavarde1491         7.40                
Vardas1493          Pavarde1493         5.20                
Vardas1495          Pavarde1495         6.40                
Vardas1496          Pavarde1496         8.00                
Vardas1497          Pavarde1497         6.00                
Vardas1498          Pavarde1498         6.40                
Vardas1499          Pavarde1499         6.20                
Vardas150           Pavarde150          5.00                
Vardas1501          Pavarde1501         6.80                
Vardas1502          Pavarde1502         6.40                
Vardas1503          Pavarde1503         6.60                
Vardas1505          Pavarde1505         7.60                
Vardas1507          Pavarde1507         6.20                
Vardas1508          Pavarde1508         6.20                
Vardas151           Pavarde151          6.20                
Vardas1510          Pavarde1510         5.80                
Vardas1511          Pavarde1511         5.40                
Vardas1512          Pavarde1512         6.80                
