Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1                 Pavarde1                      3        10         8         1         7         4         6         2
Vardas2                 Pavarde2                      9         8         4         6         3         4         8         7
Vardas3                 Pavarde3                      8        10         9         8        10         9         8         8
Vardas4                 Pavarde4                      7         8         8         3         8         5         7         4
Vardas5                 Pavarde5                      9         3         6        10         7         9         4         5
Vardas6                 Pavarde6                      9         7         4         6         8         2         8         9
Vardas7                 Pavarde7                      8         4         2         3         1         2         9         1
Vardas8                 Pavarde8                      8         5         7         8         1         4         3         8
Vardas9                 Pavarde9                      4         1        10         9        10         6         9         3
Vardas10               Pavarde10                      4         9         2         4         3         8         2         9
